Номер        Фамилия            Имя       Отчество              Номер тел.              Дата рож.            Пол                         Город                 Паспорт                   ОМС                  ИНН          Доход           Профессия      Наличие кредитов                 СНИЛС         Образование       Соц. класс                    Адрес
66707         Волков           Егор    Григорьевич            +79772705904             25.08.1997        Мужчина                        Тюмень             7871_917084           67638654366         684280838301      70.000руб         Разработчик            Нет              №160-877-268-53              Высшее        Средний            ул.Есенина_д.4_к.32
58427        Сидоров           Илья  Вячеславоваич            +79377511314             19.12.1994        Мужчина                   Екатерибург             4697_454302           63526469840         720345212756      35.000руб            Аналитик            Нет              №817-648-373-42              Высшее        Средний            ул.Заречная_д.16_к.11
72422       Воронина          София    Прокопьевна            +79194100701             07.08.1979        Женщина                          Сочи             7894_405129           22039841856         827779280139      20.000руб           Ветеринар           Есть              №707-403-207-84         Аспирантура         Высший            ул.Можайская_д.2_к.75
48044       Цветаева     Александра    Разумникова            +79581456641             01.13.1983        Женщина                        Москва             0370_640391           38554556138         349848971927      85.000руб             Дантист           Есть              №975-450-957-48        Докторантура         Высший            ул.Соколиная_д.16_к.55
63516  Воскресенская      Елизавета     Савельевна            +79417765767             08.05.1981        Женщина                          Сочи             7873_677762           67573954943         120699376045      40.000руб            Аналитик           Есть              №702-900-497-56             Среднее         Высший            ул.Соколиная_д.11_к.66
96553      Богатырёв          Артём       Глебович            +79796418879             06.02.1981        Мужчина                           Уфа             4086_915102           47423065054         861062418022      40.000руб            Психолог           Есть              №733-878-727-97             Среднее         Высший            ул.Авангардская_д.3_к.4
99072        Романов           Егор      Филатович            +79785288182             15.01.1996        Мужчина                           Уфа             4682_874314           46564528842         558481814592      65.000руб             Средний           Есть              №579-767-611-99         Аспирантура        Средний            ул.Молостовых_д.7_к.40
75550       Воронцов      Владислав       Глебович            +79858176329             06.02.1972        Мужчина                   Екатерибург             0390_820574           64592085077         106423742657     100.000руб            Психолог            Нет              №121-620-608-63             Среднее         Низший            ул.Садовая_д.6_к.96
71899      Богатырёв          Фёдор  Александрович            +79865856897             09.10.1984        Мужчина                          Омск             4083_767551           56378626741         605770329553      70.000руб                Врач            Нет              №461-128-945-81         Аспирантура         Низший            ул.Земельная_д.18_к.48
49866        Галкина          Софья  Святославовна            +79576150440             12.12.1977        Женщина                        Казань             4697_264847           56254568345         683162965742      50.000руб          Стоматолог           Есть              №501-335-842-57        Докторантура         Высший            ул.Можайская_д.12_к.76
93130       Воронцов      Станислав    Григорьевич            +79715942495             21.04.1989        Мужчина                        Казань             0391_336705           78589669623         566311553690      20.000руб             Инженер            Нет              №457-449-316-91             Среднее        Средний            ул.Авангардская_д.1_к.28
50026     Плотникова          Ольга     Степановна            +79927600151             17.03.1997        Женщина                    Новосибирс             4082_144809           74474743422         123132332993      60.000руб             Инженер            Нет              №882-186-110-25             Среднее         Низший            ул.Можайская_д.6_к.68
55133    Виноградова          Дарья    Спиридонова            +79323457459             07.08.1994        Женщина                     Краснодар             7876_528938           99935152579         333882982995      90.000руб                Врач            Нет              №404-619-461-97             Среднее         Низший            ул.Садовая_д.7_к.31
88095         Иванов        Василий      Донатович            +79638463120             03.11.1980        Мужчина                       Саратов             4585_991986           43754700919         122392167285      50.000руб          Стоматолог           Есть              №307-723-675-16             Среднее         Низший            ул.Зубовская_д.2_к.21
62111  Воскресенская          София      Тимуровна            +79523605761             11.07.1990        Женщина                       Саратов             6971_598592           74257148469         999885108349      25.000руб       Администратор           Есть              №244-498-294-32             Среднее         Высший            ул.Автозаводская_д.13_к.7
62749        Романов        Василий     Васильевич            +79218832042             09.08.1975        Мужчина               Санкт-Петербург             4082_452140           78185354696         877049759217      30.000руб       Администратор           Есть              №140-156-981-86        Докторантура         Высший            ул.Можайская_д.10_к.96
77844        Леонова        Валерия     Прохоровна            +79231565042             08.12.1974        Женщина               Нижний Новгород             4580_458010           26808632296         941786361292      85.000руб          Стоматолог           Есть              №908-200-463-74              Высшее        Средний            ул.Садовая_д.19_к.71
86460        Боброва        Надежда      Тимуровна            +79506180271             01.08.1991        Женщина                   Владивосток             4085_191248           50561959777         840902354265      20.000руб         Разработчик            Нет              №253-743-545-78        Докторантура         Высший            ул.Каширская_д.10_к.78
63821         Иванов         Сергей       Глебович            +79615432016             27.09.1996        Мужчина                    Новосибирс             4087_891143           71579663066         117475691103      25.000руб                Врач            Нет              №237-136-760-60             Среднее        Средний            ул.Есенина_д.6_к.28
96775        Сидоров         Виктор       Добрынич            +79546714509             05.07.1988        Мужчина                   Екатерибург             6984_954890           24129505097         798730946367      55.000руб             Дантист            Нет              №212-728-252-29        Докторантура        Средний            ул.Авангардская_д.14_к.95
91705        Чернова          Дарья       Павловна            +79492091203             18.03.1982        Женщина                    Новосибирс             4085_996324           13518922160         844288818996      65.000руб         Программист            Нет              №686-833-202-28              Высшее         Низший            ул.Есенина_д.4_к.56
62337        Леонова          Мария Сильвесторовна            +79618881175             03.06.1991        Женщина                        Тюмень             0381_267593           20209295278         343621543747      45.000руб             Инженер           Есть              №643-576-716-90         Аспирантура         Низший            ул.Молостовых_д.2_к.96
79381       Архипова      Елизавета      Сергеевна            +79422910666             07.09.1976        Женщина                        Самара             4590_282660           70108883687         353306792606      15.000руб            Аналитик           Есть              №778-254-343-10             Среднее         Низший            ул.Земельная_д.19_к.6
66471          Орлов        Василий  Вячеславоваич            +79603116861             12.12.1977        Мужчина                    Новосибирс             0371_533289           22096997409         559763719689      10.000руб           Ветеринар           Есть              №486-709-593-81         Аспирантура        Средний            ул.Молостовых_д.20_к.2
59342          Орлов          Антон      Донатович            +79254600474             06.07.1982        Мужчина                    Красноярск             4674_554626           63203238208         792583619813        5000руб             Средний           Есть              №944-205-967-21         Аспирантура        Средний            ул.Арбатская_д.11_к.8
99483      Мельников           Олег    Евдакимович            +79266023007             08.03.1986        Мужчина                   Владивосток             4589_823918           38632070424         626250596454      20.000руб           Фармацевт            Нет              №398-930-312-66         Аспирантура         Низший            ул.Пушкина_д.13_к.56
72355    Виноградова        Валерия    Прокопьевна            +79384135600             27.04.1976        Женщина                     Краснодар             4091_541423           17102366185         456965469297      80.000руб                Врач           Есть              №185-925-809-86              Высшее        Средний            ул.Соколиная_д.1_к.54
58166     Плотникова      Екатерина    Прокопьевна            +79654083875             20.12.1973        Женщина                          Омск             6974_317518           28729367702         529066108937      60.000руб          Стоматолог            Нет              №238-915-531-37              Высшее         Низший            ул.Каширская_д.10_к.37
70020         Павлов      Владислав  Иннокентиевич            +79629696548             04.09.1976        Мужчина                Ростов-на-Дону             7894_469747           87443711555         903014873505      35.000руб             Инженер            Нет              №125-297-277-25         Аспирантура         Низший            ул.Можайская_д.12_к.36
78944       Сахарова       Виктория      Тарасовна            +79133625436             07.02.1984        Женщина                        Самара             7585_757733           77221913625         719479127322      75.000руб         Программист           Есть              №288-962-620-59         Аспирантура         Низший            ул.Октябрьская_д.11_к.77
80578        Крылова     Александра    Спиридонова            +79104261468             16.07.1977        Женщина                        Казань             4573_442887           92575340617         878065225387      90.000руб             Инженер            Нет              №170-213-218-79        Докторантура         Низший            ул.Автозаводская_д.18_к.7
67216        Романов      Владислав    Евдакимович            +79436201645             05.02.1997        Мужчина                       Воронеж             7891_693678           96987152812         935599947550      10.000руб         Разработчик           Есть              №513-128-627-38              Высшее        Средний            ул.Зубовская_д.6_к.45
55285         Зайцев         Михаил       Добрынич            +79594630623             22.12.1992        Мужчина                          Омск             7882_123179           51172378803         276737684340      75.000руб             Инженер           Есть              №396-411-326-54              Высшее         Низший            ул.Соколиная_д.1_к.65
72188         Волков      Станислав      Филатович            +79852275243             05.06.1984        Мужчина                Ростов-на-Дону             4680_840353           55592227507         270492306842      40.000руб            Аналитик           Есть              №638-413-310-32         Аспирантура        Средний            ул.Автозаводская_д.4_к.96
83337        Козлова          Ольга     Руслановна            +79735754446             17.09.1979        Женщина                     Волгоград             7891_539501           21396418933         945963917706     100.000руб                Врач            Нет              №935-293-181-49         Аспирантура        Средний            ул.Авангардская_д.4_к.82
96696        Сидоров           Олег  Иннокентиевич            +79421778825             18.04.1988        Мужчина                     Краснодар             4692_837352           18777287605         106275762448      95.000руб         Программист           Есть              №174-414-779-64             Среднее        Средний            ул.Молостовых_д.4_к.3
45928       Цветаева        Наталья     Трофимовна            +79843999632             26.13.1971        Женщина                   Владивосток             0478_870516           67687300386         931884628040      50.000руб             Инженер            Нет              №161-398-488-64        Докторантура        Средний            ул.Можайская_д.19_к.88
51796        Лебедев           Илья     Евгеньевич            +79649004645             03.06.1978        Мужчина                          Сочи             4596_690555           18496722196         607055468050      40.000руб           Фармацевт           Есть              №154-533-317-28         Аспирантура         Высший            ул.Зубовская_д.14_к.92
79176        Лебедев           Илья     Евгеньевич            +79471783403             01.02.1988        Мужчина                Ростов-на-Дону             0383_131136           64957112397         576732938664     100.000руб          Стоматолог           Есть              №126-438-562-86         Аспирантура         Низший            ул.Авангардская_д.2_к.89
68013          Орлов        Алексей      Донатович            +79488496527             07.06.1994        Мужчина                Ростов-на-Дону             7890_958340           37661147109         887619218614     100.000руб           Ветеринар            Нет              №262-269-323-73              Высшее         Высший            ул.Земельная_д.13_к.73
93949       Архипова      Елизавета     Савельевна            +79519568042             25.07.1978        Женщина               Санкт-Петербург             0376_702449           43025064554         489054679858      85.000руб         Программист            Нет              №121-839-791-58              Высшее        Средний            ул.Арбатская_д.6_к.35
71007         Зайцев        Алексей     Васильевич            +79415620812             10.12.1996        Мужчина                        Тюмень             6996_974243           74798192862         465314965027     100.000руб             Дантист           Есть              №282-313-234-41             Среднее        Средний            ул.Можайская_д.10_к.44
62844         Зайцев       Владимир      Денисович            +79818118691             15.04.1986        Мужчина                Ростов-на-Дону             7586_505956           18999543912         777539894979      95.000руб       Администратор            Нет              №554-204-448-19             Среднее         Высший            ул.Зубовская_д.17_к.17
60684        Чернова      Екатерина     Трофимовна            +79117036000             21.07.1977        Женщина                Ростов-на-Дону             4576_517214           79417450087         666340435085      85.000руб            Аналитик            Нет              №339-402-694-75             Среднее         Низший            ул.Заводская_д.1_к.14
55649          Орлов         Максим      Федотович            +79368356787             13.12.1990        Мужчина               Санкт-Петербург             4082_339922           88913360056         530076729289      35.000руб             Средний            Нет              №547-584-619-45             Среднее         Высший            ул.Автозаводская_д.4_к.63
98025        Ушакова      Елизавета       Павловна            +79667369318             04.05.1980        Женщина                        Казань             7582_367475           62837164375         196540104749      10.000руб           Ветеринар           Есть              №236-230-264-58        Докторантура         Низший            ул.Земельная_д.18_к.1
93077        Сидоров          Артём  Александрович            +79957302047             06.02.1991        Мужчина                       Саратов             0381_822512           23113585978         396981215750      85.000руб             Средний            Нет              №492-840-325-39             Среднее         Высший            ул.Арбатская_д.17_к.25
59797  Воскресенская      Елизавета  Станиславовна            +79228468428             17.04.1976        Женщина                        Самара             7588_158212           46384414791         387547441474      65.000руб             Средний           Есть              №692-553-793-80              Высшее        Средний            ул.Кремлёвская_д.10_к.26
67862      Мельников          Антон      Филатович            +79933630637             06.01.1981        Мужчина                       Воронеж             4076_217026           55714523754         577243294776     100.000руб             Инженер           Есть              №395-297-107-75         Аспирантура         Высший            ул.Соколиная_д.7_к.100
70011       Архипова      Анастасия      Патаповна            +79454214153             15.09.1973        Женщина                        Самара             6996_604274           26797985422         658658964079      10.000руб           Фармацевт           Есть              №411-103-141-98              Высшее        Средний            ул.Можайская_д.15_к.28
55557      Чеснокова          Дарья      Семёновна            +79246031536             23.11.1972        Женщина                   Екатерибург             4584_285849           66038403905         272969597502      80.000руб       Администратор           Есть              №508-219-281-69              Высшее         Низший            ул.Автозаводская_д.10_к.28
48823        Романов          Фёдор       Добрынич            +79558292104             01.12.1984        Мужчина                    Красноярск             4092_923645           27202159952         965736219848      80.000руб          Стоматолог           Есть              №465-957-580-29         Аспирантура         Низший            ул.Земельная_д.20_к.64
97466   Александрова          София Сильвесторовна            +79549603528             01.11.1981        Женщина               Нижний Новгород             4692_855422           76736221753         638389942213      35.000руб                Врач           Есть              №415-301-368-85              Высшее        Средний            ул.Заводская_д.4_к.28
82938        Чернова        Наталья  Севастьяновна            +79872254802             14.01.1977        Женщина               Санкт-Петербург             7891_651793           83075488134         279076243429      20.000руб           Фармацевт            Нет              №211-464-440-63             Среднее        Средний            ул.Молостовых_д.10_к.67
73680      Мельников          Антон    Евстафьевич            +79905988316             24.07.1985        Мужчина               Санкт-Петербург             4692_375215           29593814455         451571933799      45.000руб         Программист           Есть              №166-430-189-17              Высшее        Средний            ул.Молостовых_д.12_к.93
62669        Романов       Владимир  Александрович            +79803550971             26.03.1972        Мужчина                          Омск             4594_537500           29209758196         250844796446      80.000руб            Аналитик            Нет              №137-397-580-80         Аспирантура        Средний            ул.Октябрьская_д.4_к.31
69311        Козлова          Ольга     Руслановна            +79299668584             18.11.1984        Женщина               Нижний Новгород             0377_843149           24237557610         446038970039      70.000руб       Администратор            Нет              №551-460-888-73             Среднее        Средний            ул.Октябрьская_д.20_к.97
56111       Петушков          Артём     Богданович            +79913849693             10.01.1971        Мужчина                   Екатерибург             7894_353352           33081810484         917790118478        5000руб         Программист           Есть              №437-335-625-29             Среднее        Средний            ул.Есенина_д.15_к.46
56095        Голубев      Станислав  Иннокентиевич            +79662920865             25.11.1997        Мужчина                        Москва             7591_431610           69056627549         127204823740      35.000руб            Аналитик           Есть              №768-238-149-19         Аспирантура         Низший            ул.Каширская_д.15_к.88
96325        Козлова        Валерия     Радионовна            +79132804412             19.13.1982        Женщина                        Самара             0471_507265           54292794647         958089135508      30.000руб             Средний            Нет              №578-123-360-26             Среднее         Высший            ул.Соколиная_д.1_к.57
58443        Соболев       Владимир      Денисович            +79913846749             02.02.1997        Мужчина                        Казань             7597_322418           87629337625         491002609790      95.000руб           Фармацевт           Есть              №554-298-683-48              Высшее         Высший            ул.Есенина_д.14_к.31
94080       Петушков           Илья Константинович            +79699377222             14.13.1982        Мужчина                   Владивосток             4089_409210           56282357394         312308850193      85.000руб       Администратор            Нет              №482-992-191-71        Докторантура         Высший            ул.Кремлёвская_д.9_к.95
61901       Медведев    Пантелеймон    Ярославович            +79945599408             15.03.1984        Мужчина                Ростов-на-Дону             0388_949893           62514342839         210212518331      65.000руб           Ветеринар           Есть              №902-901-190-65        Докторантура        Средний            ул.Земельная_д.14_к.62
66813         Ларина          Дарья      Тимуровна            +79415132279             07.11.1989        Женщина                        Тюмень             0480_797980           96475729329         490152421030      90.000руб             Средний           Есть              №434-666-823-97              Высшее        Средний            ул.Земельная_д.5_к.75
71966         Иванов         Никита    Григорьевич            +79829534104             06.03.1989        Мужчина                Ростов-на-Дону             7888_873942           23844607555         373997542866      30.000руб       Администратор            Нет              №547-583-604-29             Среднее         Высший            ул.Заречная_д.2_к.36
77050       Воронина          Дарья      Сергеевна            +79326026268             08.13.1996        Женщина                       Воронеж             4588_164770           26399012797         850040742165      35.000руб           Ветеринар           Есть              №861-618-920-69             Среднее         Низший            ул.Авангардская_д.7_к.97
86105        Голубев          Фёдор       Глебович            +79688661252             02.13.1992        Мужчина                   Екатерибург             0387_481353           59982477311         207804949215      30.000руб             Средний            Нет              №748-296-682-47         Аспирантура        Средний            ул.Молостовых_д.18_к.52
53750        Сидоров         Максим    Евстафьевич            +79579951650             06.12.1977        Мужчина                          Сочи             7577_334547           27411064067         320339281388      65.000руб                Врач            Нет              №511-268-532-49         Аспирантура        Средний            ул.Авангардская_д.16_к.48
84983        Морозов         Максим    Евдакимович            +79272591859             02.03.1978        Мужчина                        Москва             4079_359346           24268388448         649355732775      50.000руб           Фармацевт            Нет              №714-635-656-47              Высшее        Средний            ул.Кремлёвская_д.19_к.62
54962        Морозов         Михаил     Алексеевич            +79474563420             07.09.1988        Мужчина                     Волгоград             4685_286579           78928936824         114429796765      65.000руб          Стоматолог            Нет              №906-839-166-99              Высшее         Низший            ул.Пушкина_д.6_к.76
48018         Зайцев          Артём      Денисович            +79535559451             28.09.1981        Мужчина                        Москва             7877_967643           58288564030         611778424678        5000руб             Инженер            Нет              №206-901-780-39              Высшее         Высший            ул.Авангардская_д.5_к.61
81347        Морозов         Михаил      Филатович            +79578162155             07.07.1974        Мужчина                       Саратов             4072_275439           32974120333         623520767800      70.000руб             Инженер            Нет              №351-507-824-58         Аспирантура         Низший            ул.Земельная_д.16_к.32
74582  Воскресенская       Виктория       Павловна            +79162274131             06.02.1984        Женщина               Санкт-Петербург             4074_501395           29175325996         292819805470      65.000руб             Дантист           Есть              №795-634-438-52              Высшее        Средний            ул.Октябрьская_д.13_к.53
53887       Сахарова          Мария      Семёновна            +79104165505             03.02.1985        Женщина                       Саратов             6979_229999           52637956086         490958271459      25.000руб            Аналитик           Есть              №117-724-267-21             Среднее        Средний            ул.Автозаводская_д.16_к.99
76238         Быкова      Екатерина     Радионовна            +79118167110             10.02.1983        Женщина                Ростов-на-Дону             4090_947927           85073803241         315521229014        5000руб         Разработчик           Есть              №227-194-359-44             Среднее        Средний            ул.Автозаводская_д.16_к.63
96403       Воронина        Валерия     Степановна            +79293862078             25.07.1994        Женщина                Ростов-на-Дону             7876_232033           76276520177         764607206463      50.000руб         Разработчик            Нет              №696-163-164-94         Аспирантура         Высший            ул.Садовая_д.16_к.47
78660      Чеснокова      Маргорита     Радионовна            +79836004161             08.13.1976        Женщина                       Воронеж             7591_455354           26605545452         669835724875      55.000руб                Врач           Есть              №297-158-385-45             Среднее         Низший            ул.Автозаводская_д.5_к.16
51950     Золотарёва          Лидия  Станиславовна            +79217523918             19.10.1978        Женщина                     Краснодар             0486_925634           25029432108         619438661417      60.000руб                Врач            Нет              №919-217-768-43              Высшее         Высший            ул.Земельная_д.12_к.87
66865        Сидоров      Станислав    Евстафьевич            +79483801839             26.06.1980        Мужчина                          Омск             0389_741158           26831030598         890585989819      80.000руб       Администратор           Есть              №114-189-952-65         Аспирантура        Средний            ул.Земельная_д.11_к.71
79238        Крылова        Татьяна      Семёновна            +79459223094             26.06.1976        Женщина                        Казань             0393_245660           99448778669         206761585581      60.000руб          Стоматолог            Нет              №458-808-240-27              Высшее         Низший            ул.Заводская_д.7_к.74
85952       Цветаева      Елизавета       Павловна            +79631755406             10.09.1988        Женщина                     Волгоград             0476_915230           74691712523         873960258855      45.000руб            Психолог            Нет              №473-323-574-18         Аспирантура         Низший            ул.Авиационная_д.3_к.1
92259       Бочкарёв           Илья      Филатович            +79842663625             01.05.1994        Мужчина                        Самара             7585_687845           38877910292         717531180020        5000руб             Инженер            Нет              №888-603-504-45         Аспирантура         Высший            ул.Автозаводская_д.10_к.76
85482         Павлов           Егор      Филатович            +79164134104             24.10.1982        Мужчина               Санкт-Петербург             6980_265433           12862254680         526132755904      20.000руб             Средний           Есть              №129-937-563-84        Докторантура        Средний            ул.Можайская_д.2_к.17
89909     Золотарёва          Ирина     Степановна            +79391104249             02.13.1990        Женщина               Нижний Новгород             0378_966388           21572565373         506462676241      45.000руб             Инженер           Есть              №449-634-591-15         Аспирантура         Высший            ул.Октябрьская_д.1_к.89
78919        Боброва       Виктория     Радионовна            +79962102514             05.10.1993        Женщина                     Волгоград             6973_868085           58595890960         405523278514      10.000руб             Инженер           Есть              №937-280-499-73        Докторантура         Высший            ул.Молостовых_д.9_к.55
85359       Воронцов           Егор   Владимирович            +79662672906             11.08.1992        Мужчина                       Саратов             0376_335924           39266220349         722121456992        5000руб             Средний           Есть              №888-205-779-42         Аспирантура         Низший            ул.Автозаводская_д.15_к.77
