Номер        Фамилия            Имя       Отчество              Номер тел.              Дата рож.            Пол                         Город                 Паспорт                   ОМС                  ИНН          Доход           Профессия      Наличие кредитов                 СНИЛС         Образование       Соц. класс         Дети                    Адрес
79731         Быкова         Анжела      Платонова            +79516181339             09.07.1972        Женщина                        Самара             7581_278828           43178276596         122191560151     100.000руб             Средний           Есть              №545-930-477-26             Среднее         Низший            Нет            ул.Заречная_д.2_к.55
95403          Орлов        Алексей    Евдакимович            +79112148833             02.03.1979        Мужчина                   Екатерибург             0395_718288           70222673519         393959565624      50.000руб         Программист            Нет              №919-199-398-56              Высшее         Высший           Есть            ул.Авиационная_д.15_к.27
53780        Голубев          Артём      Филатович            +79455486432             06.07.1992        Мужчина                       Воронеж             7884_867655           95514678982         605435553202      35.000руб             Дантист           Есть              №972-112-613-47         Аспирантура         Высший            Нет            ул.Авиационная_д.7_к.67
68352        Чернова        Евгения  Севастьяновна            +79326079900             10.07.1972        Женщина                           Уфа             0481_773249           32311129155         979192462089     100.000руб                Врач           Есть              №643-978-604-47        Докторантура         Высший            Нет            ул.Кремлёвская_д.18_к.94
75039         Иванов    Пантелеймон      Федотович            +79219253875             07.05.1975        Мужчина                        Тюмень             0493_125363           46825570748         766302453833      15.000руб         Разработчик            Нет              №500-666-488-40             Среднее        Средний            Нет            ул.Можайская_д.7_к.25
56808         Быкова        Надежда      Тарасовна            +79872736084             06.12.1972        Женщина                   Владивосток             4086_985898           55134053454         401832121693     100.000руб             Средний            Нет              №871-338-273-37             Среднее        Средний           Есть            ул.Октябрьская_д.4_к.71
63678     Плотникова        Евгения       Павловна            +79519178154             18.03.1985        Женщина                        Казань             4072_913944           30731238919         391145657466      40.000руб             Средний            Нет              №626-610-811-82        Докторантура        Средний           Есть            ул.Садовая_д.7_к.70
53213        Ушакова        Наталья       Павловна            +79322948122             03.12.1985        Женщина                     Краснодар             6986_412392           73938842194         685709921790      60.000руб       Администратор           Есть              №128-943-302-93        Докторантура         Низший            Нет            ул.Арбатская_д.9_к.2
94490     Королькова        Надежда Сильвесторовна            +79129380661             05.12.1973        Женщина                          Омск             4079_108276           33897418062         507964865845      50.000руб         Разработчик           Есть              №530-935-103-39        Докторантура        Средний           Есть            ул.Земельная_д.13_к.48
81899        Крылова        Наталья  Севастьяновна            +79805496628             09.05.1989        Женщина                     Волгоград             4685_887654           39262843406         363371881406      65.000руб             Средний           Есть              №653-367-303-61         Аспирантура         Высший            Нет            ул.Соколиная_д.15_к.66
51056         Громов         Сергей      Денисович            +79495084436             06.08.1973        Мужчина                    Новосибирс             0393_312105           57647537898         435825175985      80.000руб           Фармацевт           Есть              №956-900-416-37        Докторантура         Низший           Есть            ул.Авангардская_д.7_к.85
67554        Телегин         Степан     Васильевич            +79923235614             09.04.1971        Мужчина                    Красноярск             4072_128830           50827728252         696098401978      35.000руб         Разработчик           Есть              №301-404-747-85              Высшее         Низший           Есть            ул.Молостовых_д.18_к.16
48490      Богатырёв      Станислав    Ярославович            +79173871592             01.13.1973        Мужчина                        Тюмень             4079_904243           56769331557         821448353856      75.000руб          Стоматолог            Нет              №206-505-372-59             Среднее         Низший            Нет            ул.Есенина_д.1_к.27
81996     Плотникова      Екатерина     Руслановна            +79503069307             08.03.1988        Женщина                     Краснодар             4680_827658           83701452308         766137103511      90.000руб                Врач            Нет              №146-621-657-39              Высшее         Высший            Нет            ул.Зубовская_д.17_к.21
52550        Голубев         Андрей  Александрович            +79458415888             12.06.1991        Мужчина                       Воронеж             4084_202011           66754485711         914647583901      15.000руб           Фармацевт            Нет              №232-380-128-84              Высшее         Низший            Нет            ул.Арбатская_д.8_к.25
98240     Королькова          Ирина  Святославовна            +79245780730             02.03.1987        Женщина                Ростов-на-Дону             7871_376530           55477548822         488345181580      65.000руб             Дантист            Нет              №831-754-883-54         Аспирантура         Высший            Нет            ул.Каширская_д.16_к.74
63142       Цветаева          Лидия      Семёновна            +79693616701             14.08.1989        Женщина                   Владивосток             0483_738131           54689036561         183775985837     100.000руб          Стоматолог           Есть              №896-171-828-57        Докторантура        Средний           Есть            ул.Садовая_д.11_к.66
96702        Романов    Пантелеймон    Ярославович            +79526823822             04.09.1988        Мужчина                   Екатерибург             0491_849431           48485947013         345803696507      30.000руб       Администратор           Есть              №522-796-753-18        Докторантура        Средний            Нет            ул.Автозаводская_д.7_к.50
94200       Бочкарёв           Илья     Аркадьевич            +79342742102             08.02.1984        Мужчина                        Казань             4690_387989           43467823418         771501982408      10.000руб            Аналитик            Нет              №986-853-313-41         Аспирантура         Высший           Есть            ул.Можайская_д.5_к.11
86139        Морозов         Сергей     Богданович            +79588907020             11.05.1970        Мужчина                        Москва             7588_591979           86095331264         217739299647      15.000руб       Администратор           Есть              №918-869-991-78              Высшее        Средний           Есть            ул.Октябрьская_д.11_к.31
55098       Сахарова        Наталья    Спиридонова            +79305499384             01.02.1971        Женщина                       Саратов             7885_881016           31386750255         604826856516      45.000руб             Дантист            Нет              №258-869-146-18              Высшее         Высший            Нет            ул.Авиационная_д.4_к.33
57081         Белова          Дарья  Святославовна            +79697517835             11.11.1980        Женщина                          Сочи             7894_869681           10123550713         255380646959        5000руб             Средний            Нет              №334-867-766-41        Докторантура        Средний           Есть            ул.Молостовых_д.1_к.72
70615     Плотникова       Виктория  Станиславовна            +79749249785             01.10.1977        Женщина                   Екатерибург             4075_989776           90844356726         203236710634      40.000руб             Инженер            Нет              №875-177-463-68             Среднее         Низший           Есть            ул.Молостовых_д.10_к.33
65404       Цветаева          Софья     Трофимовна            +79443353892             09.13.1990        Женщина                   Владивосток             7893_959627           63437480725         412621817771      80.000руб           Ветеринар            Нет              №380-747-387-17         Аспирантура         Низший           Есть            ул.Есенина_д.18_к.79
65115        Романов    Пантелеймон      Денисович            +79902074609             28.07.1971        Мужчина               Санкт-Петербург             6994_639927           40194132189         120397501298      60.000руб            Психолог            Нет              №714-907-913-84             Среднее        Средний            Нет            ул.Можайская_д.13_к.10
64186      Мельников         Степан     Васильевич            +79792292498             03.11.1982        Мужчина                        Казань             6983_975331           24295802491         127426509119      75.000руб       Администратор           Есть              №748-895-669-12              Высшее         Низший            Нет            ул.Садовая_д.4_к.12
49872       Воронцов      Владислав Константинович            +79374096841             18.03.1997        Мужчина                Ростов-на-Дону             0479_296373           25042512768         120359654259      25.000руб            Аналитик            Нет              №317-739-229-62              Высшее        Средний            Нет            ул.Соколиная_д.18_к.4
68858       Воронцов         Никита Константинович            +79243379600             07.09.1979        Мужчина                    Новосибирс             4594_652557           19441611753         276114167616      35.000руб           Фармацевт           Есть              №971-696-340-30              Высшее        Средний            Нет            ул.Авангардская_д.12_к.41
60267         Ларина        Надежда  Станиславовна            +79771077229             04.09.1995        Женщина                    Новосибирс             0370_471752           88343794301         338506824763      15.000руб           Ветеринар           Есть              №830-911-692-63         Аспирантура         Высший           Есть            ул.Октябрьская_д.1_к.73
94566        Крылова          Дарья     Руслановна            +79916171520             17.11.1986        Женщина                    Новосибирс             6972_186349           93607369581         203343137618      85.000руб             Средний            Нет              №893-876-342-66         Аспирантура         Высший            Нет            ул.Пушкина_д.11_к.4
60093      Мельников         Виктор  Александрович            +79353573948             04.10.1981        Мужчина                     Краснодар             7871_446306           21891149826         877590579260      10.000руб           Ветеринар            Нет              №749-859-737-43             Среднее         Высший            Нет            ул.Садовая_д.1_к.24
90098        Козлова         Анжела     Савельевна            +79727491354             09.02.1977        Женщина               Санкт-Петербург             7581_609344           37739440312         633215217573      75.000руб       Администратор           Есть              №429-255-274-89        Докторантура        Средний            Нет            ул.Автозаводская_д.11_к.61
76591        Боброва         Анжела       Романова            +79219679039             05.05.1995        Женщина                        Самара             6975_198557           44149991556         393293419375      25.000руб         Программист           Есть              №657-350-421-95         Аспирантура        Средний           Есть            ул.Арбатская_д.19_к.89
77732    Виноградова           Вера      Семёновна            +79293428261             01.07.1991        Женщина                           Уфа             7597_295333           59056750543         502986305395      25.000руб         Разработчик           Есть              №301-556-616-80             Среднее         Низший            Нет            ул.Кремлёвская_д.11_к.89
85434      Богатырёв           Илья       Добрынич            +79151664461             18.08.1973        Мужчина                   Владивосток             6992_956413           91436000160         718908350734      45.000руб           Фармацевт           Есть              №714-242-379-10              Высшее         Низший            Нет            ул.Земельная_д.12_к.31
76060         Громов        Николай     Викторович            +79879091833             01.08.1993        Мужчина                     Краснодар             6981_539455           34004214957         425471769758        5000руб           Ветеринар           Есть              №754-379-337-43        Докторантура         Высший           Есть            ул.Авангардская_д.4_к.6
50848       Воронцов        Николай      Филатович            +79128942267             18.13.1991        Мужчина               Нижний Новгород             4683_312872           69673770565         933813273102      90.000руб       Администратор           Есть              №399-547-507-36              Высшее         Высший            Нет            ул.Есенина_д.20_к.25
81127   Серебрянская          Мария      Тимуровна            +79887909285             10.10.1991        Женщина               Нижний Новгород             4585_708770           86604057311         737722619302      90.000руб           Фармацевт           Есть              №626-742-990-54              Высшее        Средний           Есть            ул.Каширская_д.11_к.22
92458         Зайцев       Владимир  Иннокентиевич            +79353081679             07.02.1976        Мужчина                     Волгоград             6973_737874           95987144648         741228852617      20.000руб           Ветеринар           Есть              №448-404-478-66              Высшее         Высший           Есть            ул.Молостовых_д.14_к.10
76041         Павлов           Олег   Владимирович            +79347730169             02.01.1994        Мужчина                     Волгоград             6975_765451           77997896935         409810601160      35.000руб       Администратор           Есть              №548-858-570-44              Высшее         Высший           Есть            ул.Заводская_д.15_к.10
70404       Бочкарёв      Станислав   Владимирович            +79938980821             04.03.1993        Мужчина                        Казань             0382_966222           86088676642         388292657932      95.000руб             Инженер            Нет              №250-187-301-90         Аспирантура         Высший            Нет            ул.Кремлёвская_д.14_к.81
48819        Ушакова          София    Прокопьевна            +79986334008             07.07.1989        Женщина               Нижний Новгород             7886_628677           51246380662         352358382591      25.000руб           Ветеринар            Нет              №102-744-471-43              Высшее         Высший           Есть            ул.Садовая_д.9_к.86
95817       Суворова        Наталья      Платонова            +79241439197             12.01.1984        Женщина                           Уфа             7590_355448           68159160547         800669191919      50.000руб                Врач           Есть              №539-348-450-16        Докторантура         Низший            Нет            ул.Земельная_д.20_к.26
84526  Воскресенская      Елизавета     Прохоровна            +79367731752             18.12.1979        Женщина                Ростов-на-Дону             7875_442409           62388043002         990132808179      20.000руб            Психолог           Есть              №657-497-351-67              Высшее        Средний            Нет            ул.Можайская_д.14_к.2
74027        Телегин         Андрей  Александрович            +79308570168             06.10.1990        Мужчина                        Тюмень             0491_970961           55016396778         633395329056      35.000руб           Фармацевт            Нет              №393-476-915-58             Среднее        Средний           Есть            ул.Авангардская_д.10_к.15
76628       Воронина      Екатерина    Прокопьевна            +79416511347             13.11.1985        Женщина                   Владивосток             6975_133579           53315776978         565028653492      15.000руб             Средний           Есть              №832-263-641-12         Аспирантура        Средний            Нет            ул.Кремлёвская_д.15_к.75
66783  Воскресенская      Анастасия  Станиславовна            +79279573557             06.02.1976        Женщина                   Екатерибург             4579_863216           26312547694         398753398348      80.000руб          Стоматолог            Нет              №631-848-670-45        Докторантура         Низший            Нет            ул.Заводская_д.14_к.32
49229          Орлов       Владимир     Алексеевич            +79647948382             25.11.1982        Мужчина                     Волгоград             4596_191800           80489909932         363433618306      20.000руб             Средний            Нет              №780-972-208-71             Среднее         Низший           Есть            ул.Пушкина_д.13_к.67
75093        Телегин         Андрей      Андреевич            +79278568120             27.13.1988        Мужчина                Ростов-на-Дону             0480_132919           87818009045         948057218601      30.000руб           Фармацевт            Нет              №947-534-784-64         Аспирантура        Средний            Нет            ул.Арбатская_д.2_к.65
53385         Зайцев           Илья     Кириллович            +79275265172             24.08.1984        Мужчина                        Москва             7592_417376           70899094447         182915928182      25.000руб         Разработчик            Нет              №262-294-741-87         Аспирантура        Средний           Есть            ул.Садовая_д.18_к.30
59409        Сидоров         Михаил      Андреевич            +79904802194             18.10.1989        Мужчина               Санкт-Петербург             7879_723456           99039513285         615456634535      60.000руб         Разработчик            Нет              №460-302-564-25              Высшее        Средний            Нет            ул.Пушкина_д.5_к.11
99190     Плотникова          Ольга     Радионовна            +79903567224             11.10.1982        Женщина                       Воронеж             4697_223408           10915286948         417722833602      95.000руб         Программист           Есть              №642-318-750-99              Высшее         Низший            Нет            ул.Авиационная_д.12_к.86
86437        Лебедев         Михаил      Денисович            +79852217125             26.04.1979        Мужчина                       Саратов             6990_259519           90977798600         352174797529      40.000руб           Фармацевт            Нет              №166-937-199-39              Высшее         Высший           Есть            ул.Авангардская_д.15_к.28
80153  Воскресенская      Екатерина  Севастьяновна            +79479017633             03.04.1983        Женщина                        Казань             4689_497643           18875565197         639890215205      30.000руб            Аналитик           Есть              №639-508-475-34             Среднее         Высший           Есть            ул.Молостовых_д.1_к.2
54781        Леонова         Анжела      Семёновна            +79133125847             27.08.1972        Женщина                       Саратов             6974_335776           39737323717         895211744266      40.000руб         Программист           Есть              №247-278-943-50         Аспирантура         Высший           Есть            ул.Соколиная_д.12_к.94
90719        Сидоров         Виктор     Васильевич            +79355230396             05.01.1994        Мужчина                          Омск             7880_942750           88569550974         286892552245      90.000руб            Психолог            Нет              №668-806-389-38             Среднее         Высший           Есть            ул.Заводская_д.13_к.36
95342       Петушков          Артём      Филатович            +79218759797             20.10.1976        Мужчина                        Самара             4677_375802           11774784721         656214903412      25.000руб             Инженер            Нет              №386-480-361-20        Докторантура         Высший           Есть            ул.Заводская_д.19_к.2
56978        Голубев        Василий   Владимирович            +79397972547             01.04.1993        Мужчина                    Новосибирс             0397_569756           23716646780         482638171056      35.000руб            Психолог            Нет              №122-149-229-60             Среднее        Средний            Нет            ул.Автозаводская_д.13_к.13
58347     Золотарёва          Лидия      Тарасовна            +79217769844             05.13.1986        Женщина               Нижний Новгород             7597_158434           70313330665         888621213136      35.000руб             Инженер            Нет              №855-159-854-88             Среднее         Высший           Есть            ул.Молостовых_д.5_к.63
71694        Морозов          Артём      Донатович            +79332527991             08.13.1982        Мужчина                       Саратов             4692_166183           83028069729         821532999668      80.000руб            Психолог           Есть              №994-982-367-34              Высшее         Низший           Есть            ул.Арбатская_д.11_к.35
88423      Богатырёв         Андрей  Александрович            +79257436131             06.01.1988        Мужчина                       Саратов             6976_408377           91512212276         524806174233      10.000руб          Стоматолог           Есть              №350-721-836-42        Докторантура        Средний           Есть            ул.Можайская_д.1_к.4
52525    Виноградова        Евгения     Радионовна            +79941087670             09.10.1992        Женщина                           Уфа             4592_703646           76571655436         463432369717      30.000руб                Врач           Есть              №836-858-799-78        Докторантура        Средний            Нет            ул.Соколиная_д.9_к.78
61506        Телегин         Никита     Богданович            +79135314398             28.10.1977        Мужчина                       Саратов             4697_550937           98822284367         528981774839      70.000руб            Аналитик            Нет              №615-330-519-93         Аспирантура        Средний            Нет            ул.Авиационная_д.7_к.10
87734         Павлов         Михаил      Андреевич            +79938829818             19.06.1984        Мужчина                     Краснодар             4582_705997           44149949466         285089512195        5000руб             Инженер           Есть              №660-174-740-55              Высшее         Низший           Есть            ул.Пушкина_д.5_к.6
90138       Петушков      Станислав    Григорьевич            +79877886250             01.11.1988        Мужчина                           Уфа             6988_803410           19744408357         890605858538      90.000руб                Врач            Нет              №361-137-726-87              Высшее         Низший           Есть            ул.Автозаводская_д.12_к.53
66921     Плотникова      Анастасия  Севастьяновна            +79753729503             13.07.1984        Женщина                       Саратов             4076_944015           86944907155         962745363448      65.000руб            Аналитик            Нет              №935-545-671-62        Докторантура        Средний            Нет            ул.Октябрьская_д.14_к.10
58579        Романов           Олег     Кириллович            +79833382573             05.12.1983        Мужчина                Ростов-на-Дону             0371_803923           45897787261         807127985154      55.000руб             Средний           Есть              №152-879-135-37              Высшее         Низший           Есть            ул.Соколиная_д.1_к.54
81805       Суворова           Вера Сильвесторовна            +79376763408             20.10.1979        Женщина                   Екатерибург             7884_614170           29127343009         438012274176      30.000руб             Средний           Есть              №708-241-442-19        Докторантура         Высший           Есть            ул.Соколиная_д.19_к.51
74265        Козлова         Анжела       Романова            +79254749541             14.03.1988        Женщина                        Казань             6972_270055           28433429622         904144820522        5000руб            Аналитик            Нет              №953-395-250-58              Высшее        Средний           Есть            ул.Молостовых_д.2_к.25
71431   Александрова          Мария      Тарасовна            +79152266341             11.09.1978        Женщина                    Красноярск             0476_726865           75743046733         851645515817      15.000руб         Разработчик            Нет              №264-500-439-34         Аспирантура        Средний            Нет            ул.Соколиная_д.11_к.85
59922         Волков         Виктор      Андреевич            +79333594768             22.01.1988        Мужчина               Санкт-Петербург             4094_966179           41693117810         881711813231     100.000руб             Дантист           Есть              №667-530-806-90         Аспирантура         Высший           Есть            ул.Заречная_д.10_к.96
89842         Быкова          Ольга    Спиридонова            +79436321804             18.09.1984        Женщина                        Казань             6991_578610           33102015911         158071681737        5000руб             Средний           Есть              №928-642-661-22        Докторантура         Высший            Нет            ул.Есенина_д.5_к.83
64610       Сахарова        Наталья      Платонова            +79766177917             04.12.1973        Женщина               Санкт-Петербург             4685_825486           98713659449         317839972551      40.000руб             Средний           Есть              №992-812-511-38             Среднее         Низший           Есть            ул.Кремлёвская_д.19_к.95
95883        Боброва          Мария     Савельевна            +79745713036             01.13.1977        Женщина               Санкт-Петербург             7570_629809           12041923678         175106511533        5000руб             Дантист           Есть              №333-275-538-23             Среднее        Средний           Есть            ул.Садовая_д.17_к.64
